comment,date,netvalue,totvalue
0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e1\u5e74"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e1\u5e74\uff0c\u5c0f\u4e8e2\u5e74"", ""0.35%"", ""\u5927\u4e8e\u7b49\u4e8e2\u5e74\uff0c\u5c0f\u4e8e3\u5e74"", ""0.20%"", ""\u5927\u4e8e\u7b49\u4e8e3\u5e74"", ""0.00%""], ""name"": ""\u4e0a\u6295\u6469\u6839\u79d1\u6280\u524d\u6cbf\u7075\u6d3b\u914d\u7f6e\u6df7\u5408"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 30], [30, 365], [365, 730], [730, 1095], [1095]]}",0.0,0.0
0,2015-07-09 00:00:00,1.0,1.0
0,2015-07-10 00:00:00,1.0,1.0
0,2015-07-17 00:00:00,1.02,1.02
0,2015-07-24 00:00:00,1.095,1.095
0,2015-07-31 00:00:00,1.022,1.022
0,2015-08-07 00:00:00,1.033,1.033
0,2015-08-10 00:00:00,1.047,1.047
0,2015-08-11 00:00:00,1.05,1.05
0,2015-08-12 00:00:00,1.04,1.04
0,2015-08-13 00:00:00,1.04,1.04
0,2015-08-14 00:00:00,1.04,1.04
0,2015-08-17 00:00:00,1.041,1.041
0,2015-08-18 00:00:00,1.037,1.037
0,2015-08-19 00:00:00,1.038,1.038
0,2015-08-20 00:00:00,1.037,1.037
0,2015-08-21 00:00:00,1.031,1.031
0,2015-08-24 00:00:00,1.025,1.025
0,2015-08-25 00:00:00,1.021,1.021
0,2015-08-26 00:00:00,1.02,1.02
0,2015-08-27 00:00:00,1.018,1.018
0,2015-08-28 00:00:00,1.019,1.019
0,2015-08-31 00:00:00,1.018,1.018
0,2015-09-01 00:00:00,1.018,1.018
0,2015-09-02 00:00:00,1.018,1.018
0,2015-09-07 00:00:00,1.018,1.018
0,2015-09-08 00:00:00,1.018,1.018
0,2015-09-09 00:00:00,1.019,1.019
0,2015-09-10 00:00:00,1.018,1.018
0,2015-09-11 00:00:00,1.018,1.018
0,2015-09-14 00:00:00,1.015,1.015
0,2015-09-15 00:00:00,1.013,1.013
0,2015-09-16 00:00:00,1.016,1.016
0,2015-09-17 00:00:00,1.016,1.016
0,2015-09-18 00:00:00,1.017,1.017
0,2015-09-21 00:00:00,1.019,1.019
0,2015-09-22 00:00:00,1.019,1.019
0,2015-09-23 00:00:00,1.019,1.019
0,2015-09-24 00:00:00,1.019,1.019
0,2015-09-25 00:00:00,1.018,1.018
0,2015-09-28 00:00:00,1.02,1.02
0,2015-09-29 00:00:00,1.021,1.021
0,2015-09-30 00:00:00,1.021,1.021
0,2015-10-08 00:00:00,1.025,1.025
0,2015-10-09 00:00:00,1.027,1.027
0,2015-10-12 00:00:00,1.036,1.036
0,2015-10-13 00:00:00,1.036,1.036
0,2015-10-14 00:00:00,1.032,1.032
0,2015-10-15 00:00:00,1.043,1.043
0,2015-10-16 00:00:00,1.046,1.046
0,2015-10-19 00:00:00,1.045,1.045
0,2015-10-20 00:00:00,1.059,1.059
0,2015-10-21 00:00:00,1.013,1.013
