comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e1\u5e74"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e1\u5e74\uff0c\u5c0f\u4e8e2\u5e74"", ""0.30%"", ""\u5927\u4e8e\u7b49\u4e8e2\u5e74"", ""0.00%""], ""name"": ""\u5de5\u94f6\u6587\u4f53\u4ea7\u4e1a\u80a1\u7968A"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 30], [30, 365], [365, 730], [730]]}",0.0,0.0
0.0,2015-12-30 00:00:00,1.0,1.0
0.0,2015-12-31 00:00:00,0.999,0.999
0.0,2016-01-08 00:00:00,0.994,0.994
0.0,2016-01-15 00:00:00,0.986,0.986
0.0,2016-01-22 00:00:00,0.992,0.992
0.0,2016-01-28 00:00:00,0.969,0.969
0.0,2016-01-29 00:00:00,0.977,0.977
0.0,2016-02-01 00:00:00,0.976,0.976
0.0,2016-02-02 00:00:00,0.986,0.986
0.0,2016-02-03 00:00:00,0.987,0.987
0.0,2016-02-04 00:00:00,0.996,0.996
0.0,2016-02-05 00:00:00,0.992,0.992
0.0,2016-02-15 00:00:00,0.998,0.998
0.0,2016-02-16 00:00:00,1.017,1.017
0.0,2016-02-17 00:00:00,1.022,1.022
0.0,2016-02-18 00:00:00,1.018,1.018
0.0,2016-02-19 00:00:00,1.021,1.021
0.0,2016-02-22 00:00:00,1.034,1.034
0.0,2016-02-23 00:00:00,1.029,1.029
0.0,2016-02-24 00:00:00,1.023,1.023
0.0,2016-02-25 00:00:00,0.979,0.979
0.0,2016-02-26 00:00:00,0.983,0.983
0.0,2016-02-29 00:00:00,0.962,0.962
0.0,2016-03-01 00:00:00,0.973,0.973
0.0,2016-03-02 00:00:00,0.988,0.988
0.0,2016-03-03 00:00:00,0.985,0.985
0.0,2016-03-04 00:00:00,0.982,0.982
0.0,2016-03-07 00:00:00,0.986,0.986
0.0,2016-03-08 00:00:00,0.985,0.985
0.0,2016-03-09 00:00:00,0.977,0.977
0.0,2016-03-10 00:00:00,0.971,0.971
0.0,2016-03-11 00:00:00,0.972,0.972
0.0,2016-03-14 00:00:00,0.987,0.987
0.0,2016-03-15 00:00:00,0.987,0.987
0.0,2016-03-16 00:00:00,0.983,0.983
0.0,2016-03-17 00:00:00,0.994,0.994
0.0,2016-03-18 00:00:00,1.008,1.008
0.0,2016-03-21 00:00:00,1.016,1.016
0.0,2016-03-22 00:00:00,1.018,1.018
0.0,2016-03-23 00:00:00,1.019,1.019
0.0,2016-03-24 00:00:00,1.007,1.007
0.0,2016-03-25 00:00:00,1.011,1.011
