comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929"", ""0.50%""], ""name"": ""\u534e\u590f\u6210\u957f\u6df7\u5408"", ""rate"": 0.15, ""segment"": [[0, 7], [7]]}",0.0,0.0
0.0,2001-12-18 00:00:00,1.0,1.0
0.0,2001-12-21 00:00:00,1.0,1.0
0.0,2001-12-28 00:00:00,1.0,1.0
0.0,2002-01-04 00:00:00,1.0,1.0
0.0,2002-01-11 00:00:00,1.001,1.001
0.0,2002-01-18 00:00:00,1.0,1.0
0.0,2002-01-25 00:00:00,1.005,1.005
0.0,2002-01-30 00:00:00,1.002,1.002
0.0,2002-01-31 00:00:00,1.002,1.002
0.0,2002-02-01 00:00:00,1.009,1.009
0.0,2002-02-04 00:00:00,1.011,1.011
0.0,2002-02-05 00:00:00,1.012,1.012
0.0,2002-02-06 00:00:00,1.009,1.009
0.0,2002-02-07 00:00:00,1.012,1.012
0.0,2002-02-08 00:00:00,1.012,1.012
0.0,2002-02-25 00:00:00,1.014,1.014
0.0,2002-02-26 00:00:00,1.015,1.015
0.0,2002-02-27 00:00:00,1.015,1.015
0.0,2002-02-28 00:00:00,1.013,1.013
0.0,2002-03-01 00:00:00,1.011,1.011
0.0,2002-03-04 00:00:00,1.013,1.013
0.0,2002-03-05 00:00:00,1.019,1.019
0.0,2002-03-06 00:00:00,1.02,1.02
0.0,2002-03-07 00:00:00,1.026,1.026
0.0,2002-03-08 00:00:00,1.031,1.031
0.0,2002-03-11 00:00:00,1.036,1.036
0.0,2002-03-12 00:00:00,1.03,1.03
0.0,2002-03-13 00:00:00,1.025,1.025
0.0,2002-03-14 00:00:00,1.034,1.034
0.0,2002-03-15 00:00:00,1.025,1.025
0.0,2002-03-18 00:00:00,1.027,1.027
0.0,2002-03-19 00:00:00,1.035,1.035
0.0,2002-03-20 00:00:00,1.039,1.039
0.0,2002-03-21 00:00:00,1.04,1.04
0.0,2002-03-22 00:00:00,1.036,1.036
