comment,date,netvalue,totvalue
0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e180\u5929"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e180\u5929"", ""0.00%""], ""name"": ""\u6613\u65b9\u8fbe\u4e2d\u8bc1\u6d77\u5916\u8054\u63a5\u4eba\u6c11\u5e01A"", ""rate"": 0.12, ""segment"": [[0, 7], [7, 30], [30, 180], [180]]}",0.0,0.0
0,2019-01-18 00:00:00,1.0,1.0
0,2019-01-25 00:00:00,1.0001,1.0001
0,2019-02-01 00:00:00,1.0003,1.0003
0,2019-02-15 00:00:00,1.0007,1.0007
0,2019-02-18 00:00:00,1.0007,1.0007
0,2019-02-19 00:00:00,1.0008,1.0008
0,2019-02-20 00:00:00,1.004,1.004
0,2019-02-21 00:00:00,1.0037,1.0037
0,2019-02-22 00:00:00,1.0061,1.0061
0,2019-02-25 00:00:00,1.0096,1.0096
0,2019-02-26 00:00:00,1.0082,1.0082
0,2019-02-27 00:00:00,1.0082,1.0082
0,2019-02-28 00:00:00,1.0085,1.0085
0,2019-03-01 00:00:00,1.0084,1.0084
0,2019-03-04 00:00:00,1.0128,1.0128
0,2019-03-05 00:00:00,1.0207,1.0207
0,2019-03-06 00:00:00,1.0205,1.0205
0,2019-03-07 00:00:00,1.0045,1.0045
0,2019-03-08 00:00:00,0.9948,0.9948
0,2019-03-11 00:00:00,1.0124,1.0124
0,2019-03-12 00:00:00,1.0093,1.0093
0,2019-03-13 00:00:00,1.0038,1.0038
0,2019-03-14 00:00:00,0.9952,0.9952
0,2019-03-15 00:00:00,1.0123,1.0123
0,2019-03-18 00:00:00,1.0248,1.0248
0,2019-03-19 00:00:00,1.021,1.021
0,2019-03-20 00:00:00,1.0094,1.0094
0,2019-03-21 00:00:00,1.0062,1.0062
0,2019-03-22 00:00:00,0.9884,0.9884
0,2019-03-25 00:00:00,0.9911,0.9911
0,2019-03-26 00:00:00,0.9886,0.9886
0,2019-03-27 00:00:00,0.9929,0.9929
