comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e365\u5929"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e365\u5929\uff0c\u5c0f\u4e8e730\u5929"", ""0.25%"", ""\u5927\u4e8e\u7b49\u4e8e730\u5929"", ""0.00%""], ""name"": ""\u4e2d\u6b27\u65f6\u4ee3\u5148\u950b\u80a1\u7968A"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 30], [30, 365], [365, 730], [730]]}",0.0,0.0
0.0,2015-11-03 00:00:00,1.0,1.0
0.0,2015-11-06 00:00:00,1.019,1.019
0.0,2015-11-13 00:00:00,1.063,1.063
0.0,2015-11-20 00:00:00,1.101,1.101
0.0,2015-11-27 00:00:00,1.087,1.087
0.0,2015-12-02 00:00:00,1.088,1.088
0.0,2015-12-03 00:00:00,1.105,1.105
0.0,2015-12-04 00:00:00,1.104,1.104
0.0,2015-12-07 00:00:00,1.11,1.11
0.0,2015-12-08 00:00:00,1.103,1.103
0.0,2015-12-09 00:00:00,1.112,1.112
0.0,2015-12-10 00:00:00,1.108,1.108
0.0,2015-12-11 00:00:00,1.105,1.105
0.0,2015-12-14 00:00:00,1.103,1.103
0.0,2015-12-15 00:00:00,1.108,1.108
0.0,2015-12-16 00:00:00,1.108,1.108
0.0,2015-12-17 00:00:00,1.115,1.115
0.0,2015-12-18 00:00:00,1.121,1.121
0.0,2015-12-21 00:00:00,1.131,1.131
0.08,2015-12-22 00:00:00,1.057,1.137
0.0,2015-12-23 00:00:00,1.053,1.133
0.0,2015-12-24 00:00:00,1.051,1.131
0.0,2015-12-25 00:00:00,1.058,1.138
0.0,2015-12-28 00:00:00,1.04,1.12
0.0,2015-12-29 00:00:00,1.046,1.126
0.0,2015-12-30 00:00:00,1.052,1.132
0.0,2015-12-31 00:00:00,1.053,1.133
0.0,2016-01-04 00:00:00,1.001,1.081
0.0,2016-01-05 00:00:00,0.997,1.077
0.0,2016-01-06 00:00:00,1.021,1.101
0.0,2016-01-07 00:00:00,0.943,1.023
0.0,2016-01-08 00:00:00,0.977,1.057
