comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e1\u5e74"", ""0.60%"", ""\u5927\u4e8e\u7b49\u4e8e1\u5e74\uff0c\u5c0f\u4e8e2\u5e74"", ""0.30%"", ""\u5927\u4e8e\u7b49\u4e8e2\u5e74"", ""0.00%""], ""name"": ""\u5174\u5168\u5546\u4e1a\u6a21\u5f0f\u4f18\u9009\u6df7\u5408"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 365], [365, 730], [730]]}",0.0,0.0
0.0,2012-12-18 00:00:00,1.0,1.0
0.0,2012-12-21 00:00:00,1.0,1.0
0.0,2012-12-24 00:00:00,1.0,1.0
0.0,2012-12-25 00:00:00,1.003,1.003
0.0,2012-12-26 00:00:00,1.004,1.004
0.0,2012-12-27 00:00:00,1.003,1.003
0.0,2012-12-28 00:00:00,1.006,1.006
0.0,2012-12-31 00:00:00,1.013,1.013
0.0,2013-01-04 00:00:00,1.016,1.016
0.0,2013-01-11 00:00:00,1.011,1.011
0.0,2013-01-18 00:00:00,1.023,1.023
0.0,2013-01-25 00:00:00,1.018,1.018
0.0,2013-01-31 00:00:00,1.04,1.04
0.0,2013-02-01 00:00:00,1.057,1.057
0.0,2013-02-04 00:00:00,1.06,1.06
0.0,2013-02-05 00:00:00,1.058,1.058
0.0,2013-02-06 00:00:00,1.067,1.067
0.0,2013-02-07 00:00:00,1.062,1.062
0.0,2013-02-08 00:00:00,1.075,1.075
0.0,2013-02-18 00:00:00,1.068,1.068
0.0,2013-02-19 00:00:00,1.045,1.045
0.0,2013-02-20 00:00:00,1.056,1.056
0.0,2013-02-21 00:00:00,1.027,1.027
0.0,2013-02-22 00:00:00,1.017,1.017
0.0,2013-02-25 00:00:00,1.029,1.029
0.0,2013-02-26 00:00:00,1.01,1.01
0.0,2013-02-27 00:00:00,1.013,1.013
0.0,2013-02-28 00:00:00,1.042,1.042
0.0,2013-03-01 00:00:00,1.04,1.04
0.0,2013-03-04 00:00:00,0.99,0.99
0.0,2013-03-05 00:00:00,1.026,1.026
0.0,2013-03-06 00:00:00,1.047,1.047
0.0,2013-03-07 00:00:00,1.038,1.038
0.0,2013-03-08 00:00:00,1.032,1.032
0.0,2013-03-11 00:00:00,1.02,1.02
