comment,date,netvalue,totvalue
0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e1\u5e74"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e1\u5e74\uff0c\u5c0f\u4e8e2\u5e74"", ""0.30%"", ""\u5927\u4e8e\u7b49\u4e8e2\u5e74"", ""0.00%""], ""name"": ""\u5357\u65b9\u4f18\u9009\u6210\u957f\u6df7\u5408A"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 365], [365, 730], [730]]}",0.0,0.0
0,2011-02-01 00:00:00,1.0,1.0
0,2011-02-11 00:00:00,1.0,1.0
0,2011-02-18 00:00:00,0.998,0.998
0,2011-02-25 00:00:00,0.995,0.995
0,2011-03-04 00:00:00,0.995,0.995
0,2011-03-11 00:00:00,0.992,0.992
0,2011-03-18 00:00:00,0.988,0.988
0,2011-03-25 00:00:00,0.995,0.995
0,2011-04-01 00:00:00,0.987,0.987
0,2011-04-08 00:00:00,0.995,0.995
0,2011-04-15 00:00:00,0.989,0.989
0,2011-04-20 00:00:00,0.983,0.983
0,2011-04-21 00:00:00,0.986,0.986
0,2011-04-22 00:00:00,0.984,0.984
0,2011-04-25 00:00:00,0.98,0.98
0,2011-04-26 00:00:00,0.979,0.979
0,2011-04-27 00:00:00,0.977,0.977
0,2011-04-28 00:00:00,0.97,0.97
0,2011-04-29 00:00:00,0.974,0.974
0,2011-05-03 00:00:00,0.974,0.974
0,2011-05-04 00:00:00,0.96,0.96
0,2011-05-05 00:00:00,0.959,0.959
0,2011-05-06 00:00:00,0.958,0.958
0,2011-05-09 00:00:00,0.959,0.959
0,2011-05-10 00:00:00,0.961,0.961
0,2011-05-11 00:00:00,0.961,0.961
0,2011-05-12 00:00:00,0.956,0.956
0,2011-05-13 00:00:00,0.959,0.959
0,2011-05-16 00:00:00,0.95,0.95
0,2011-05-17 00:00:00,0.955,0.955
0,2011-05-18 00:00:00,0.959,0.959
0,2011-05-19 00:00:00,0.955,0.955
0,2011-05-20 00:00:00,0.954,0.954
0,2011-05-23 00:00:00,0.94,0.94
0,2011-05-24 00:00:00,0.94,0.94
0,2011-05-25 00:00:00,0.934,0.934
0,2011-05-26 00:00:00,0.93,0.93
0,2011-05-27 00:00:00,0.929,0.929
0,2011-05-30 00:00:00,0.928,0.928
0,2011-05-31 00:00:00,0.937,0.937
0,2011-06-01 00:00:00,0.939,0.939
0,2011-06-02 00:00:00,0.933,0.933
0,2011-06-03 00:00:00,0.938,0.938
0,2011-06-07 00:00:00,0.94,0.94
0,2011-06-08 00:00:00,0.941,0.941
0,2011-06-09 00:00:00,0.93,0.93
0,2011-06-10 00:00:00,0.931,0.931
0,2011-06-13 00:00:00,0.93,0.93
0,2011-06-14 00:00:00,0.941,0.941
0,2011-06-15 00:00:00,0.938,0.938
0,2011-06-16 00:00:00,0.93,0.93
0,2011-06-17 00:00:00,0.927,0.927
0,2011-06-20 00:00:00,0.929,0.929
0,2011-06-21 00:00:00,0.938,0.938
0,2011-06-22 00:00:00,0.939,0.939
0,2011-06-23 00:00:00,0.951,0.951
0,2011-06-24 00:00:00,0.959,0.959
0,2011-06-27 00:00:00,0.961,0.961
0,2011-06-28 00:00:00,0.962,0.962
0,2011-06-29 00:00:00,0.955,0.955
0,2011-06-30 00:00:00,0.964,0.964
0,2011-07-01 00:00:00,0.966,0.966
0,2011-07-04 00:00:00,0.976,0.976
0,2011-07-05 00:00:00,0.976,0.976
0,2011-07-06 00:00:00,0.974,0.974
0,2011-07-07 00:00:00,0.973,0.973
0,2011-07-08 00:00:00,0.974,0.974
0,2011-07-11 00:00:00,0.975,0.975
0,2011-07-12 00:00:00,0.968,0.968
0,2011-07-13 00:00:00,0.976,0.976
0,2011-07-14 00:00:00,0.978,0.978
0,2011-07-15 00:00:00,0.982,0.982
0,2011-07-18 00:00:00,0.978,0.978
0,2011-07-19 00:00:00,0.974,0.974
0,2011-07-20 00:00:00,0.972,0.972
0,2011-07-21 00:00:00,0.966,0.966
0,2011-07-22 00:00:00,0.969,0.969
0,2011-07-25 00:00:00,0.954,0.954
0,2011-07-26 00:00:00,0.956,0.956
0,2011-07-27 00:00:00,0.96,0.96
0,2011-07-28 00:00:00,0.958,0.958
0,2011-07-29 00:00:00,0.956,0.956
0,2011-08-01 00:00:00,0.957,0.957
0,2011-08-02 00:00:00,0.954,0.954
0,2011-08-03 00:00:00,0.954,0.954
0,2011-08-04 00:00:00,0.956,0.956
0,2011-08-05 00:00:00,0.95,0.95
0,2011-08-08 00:00:00,0.941,0.941
0,2011-08-09 00:00:00,0.943,0.943
0,2011-08-10 00:00:00,0.947,0.947
0,2011-08-11 00:00:00,0.954,0.954
0,2011-08-12 00:00:00,0.954,0.954
0,2011-08-15 00:00:00,0.958,0.958
0,2011-08-16 00:00:00,0.955,0.955
0,2011-08-17 00:00:00,0.951,0.951
0,2011-08-18 00:00:00,0.943,0.943
0,2011-08-19 00:00:00,0.941,0.941
0,2011-08-22 00:00:00,0.933,0.933
0,2011-08-23 00:00:00,0.937,0.937
0,2011-08-24 00:00:00,0.937,0.937
0,2011-08-25 00:00:00,0.948,0.948
0,2011-08-26 00:00:00,0.947,0.947
0,2011-08-29 00:00:00,0.942,0.942
0,2011-08-30 00:00:00,0.939,0.939
0,2011-08-31 00:00:00,0.939,0.939
0,2011-09-01 00:00:00,0.938,0.938
0,2011-09-02 00:00:00,0.932,0.932
0,2011-09-05 00:00:00,0.922,0.922
0,2011-09-06 00:00:00,0.916,0.916
0,2011-09-07 00:00:00,0.925,0.925
0,2011-09-08 00:00:00,0.922,0.922
0,2011-09-09 00:00:00,0.918,0.918
0,2011-09-13 00:00:00,0.913,0.913
0,2011-09-14 00:00:00,0.915,0.915
0,2011-09-15 00:00:00,0.916,0.916
0,2011-09-16 00:00:00,0.918,0.918
0,2011-09-19 00:00:00,0.91,0.91
0,2011-09-20 00:00:00,0.91,0.91
0,2011-09-21 00:00:00,0.923,0.923
0,2011-09-22 00:00:00,0.909,0.909
0,2011-09-23 00:00:00,0.903,0.903
0,2011-09-26 00:00:00,0.896,0.896
0,2011-09-27 00:00:00,0.899,0.899
0,2011-09-28 00:00:00,0.894,0.894
0,2011-09-29 00:00:00,0.888,0.888
0,2011-09-30 00:00:00,0.888,0.888
0,2011-10-10 00:00:00,0.88,0.88
0,2011-10-11 00:00:00,0.873,0.873
0,2011-10-12 00:00:00,0.886,0.886
0,2011-10-13 00:00:00,0.891,0.891
0,2011-10-14 00:00:00,0.887,0.887
0,2011-10-17 00:00:00,0.89,0.89
0,2011-10-18 00:00:00,0.876,0.876
0,2011-10-19 00:00:00,0.871,0.871
0,2011-10-20 00:00:00,0.858,0.858
0,2011-10-21 00:00:00,0.851,0.851
0,2011-10-24 00:00:00,0.863,0.863
0,2011-10-25 00:00:00,0.877,0.877
0,2011-10-26 00:00:00,0.885,0.885
0,2011-10-27 00:00:00,0.885,0.885
0,2011-10-28 00:00:00,0.895,0.895
0,2011-10-31 00:00:00,0.897,0.897
0,2011-11-01 00:00:00,0.896,0.896
0,2011-11-02 00:00:00,0.908,0.908
0,2011-11-03 00:00:00,0.911,0.911
0,2011-11-04 00:00:00,0.915,0.915
0,2011-11-07 00:00:00,0.909,0.909
0,2011-11-08 00:00:00,0.903,0.903
0,2011-11-09 00:00:00,0.912,0.912
0,2011-11-10 00:00:00,0.908,0.908
0,2011-11-11 00:00:00,0.906,0.906
0,2011-11-14 00:00:00,0.921,0.921
0,2011-11-15 00:00:00,0.92,0.92
0,2011-11-16 00:00:00,0.904,0.904
0,2011-11-17 00:00:00,0.903,0.903
0,2011-11-18 00:00:00,0.887,0.887
0,2011-11-21 00:00:00,0.887,0.887
0,2011-11-22 00:00:00,0.886,0.886
0,2011-11-23 00:00:00,0.881,0.881
0,2011-11-24 00:00:00,0.884,0.884
0,2011-11-25 00:00:00,0.88,0.88
0,2011-11-28 00:00:00,0.884,0.884
0,2011-11-29 00:00:00,0.892,0.892
0,2011-11-30 00:00:00,0.873,0.873
0,2011-12-01 00:00:00,0.886,0.886
0,2011-12-02 00:00:00,0.878,0.878
0,2011-12-05 00:00:00,0.861,0.861
0,2011-12-06 00:00:00,0.863,0.863
0,2011-12-07 00:00:00,0.868,0.868
0,2011-12-08 00:00:00,0.867,0.867
0,2011-12-09 00:00:00,0.861,0.861
0,2011-12-12 00:00:00,0.855,0.855
0,2011-12-13 00:00:00,0.842,0.842
0,2011-12-14 00:00:00,0.837,0.837
0,2011-12-15 00:00:00,0.825,0.825
0,2011-12-16 00:00:00,0.841,0.841
0,2011-12-19 00:00:00,0.842,0.842
0,2011-12-20 00:00:00,0.84,0.84
0,2011-12-21 00:00:00,0.832,0.832
0,2011-12-22 00:00:00,0.83,0.83
0,2011-12-23 00:00:00,0.832,0.832
0,2011-12-26 00:00:00,0.827,0.827
0,2011-12-27 00:00:00,0.817,0.817
0,2011-12-28 00:00:00,0.818,0.818
0,2011-12-29 00:00:00,0.82,0.82
0,2011-12-30 00:00:00,0.831,0.831
0,2012-01-04 00:00:00,0.814,0.814
0,2012-01-05 00:00:00,0.795,0.795
0,2012-01-06 00:00:00,0.794,0.794
0,2012-01-09 00:00:00,0.811,0.811
0,2012-01-10 00:00:00,0.831,0.831
0,2012-01-11 00:00:00,0.83,0.83
0,2012-01-12 00:00:00,0.826,0.826
0,2012-01-13 00:00:00,0.804,0.804
0,2012-01-16 00:00:00,0.786,0.786
0,2012-01-17 00:00:00,0.811,0.811
0,2012-01-18 00:00:00,0.794,0.794
0,2012-01-19 00:00:00,0.8,0.8
0,2012-01-20 00:00:00,0.815,0.815
0,2012-01-30 00:00:00,0.809,0.809
0,2012-01-31 00:00:00,0.811,0.811
0,2012-02-01 00:00:00,0.808,0.808
0,2012-02-02 00:00:00,0.82,0.82
0,2012-02-03 00:00:00,0.829,0.829
0,2012-02-06 00:00:00,0.833,0.833
0,2012-02-07 00:00:00,0.823,0.823
0,2012-02-08 00:00:00,0.837,0.837
0,2012-02-09 00:00:00,0.841,0.841
0,2012-02-10 00:00:00,0.84,0.84
0,2012-02-13 00:00:00,0.844,0.844
0,2012-02-14 00:00:00,0.844,0.844
0,2012-02-15 00:00:00,0.848,0.848
0,2012-02-16 00:00:00,0.846,0.846
0,2012-02-17 00:00:00,0.843,0.843
0,2012-02-20 00:00:00,0.846,0.846
0,2012-02-21 00:00:00,0.855,0.855
0,2012-02-22 00:00:00,0.867,0.867
0,2012-02-23 00:00:00,0.867,0.867
0,2012-02-24 00:00:00,0.873,0.873
0,2012-02-27 00:00:00,0.877,0.877
0,2012-02-28 00:00:00,0.874,0.874
0,2012-02-29 00:00:00,0.869,0.869
0,2012-03-01 00:00:00,0.871,0.871
0,2012-03-02 00:00:00,0.881,0.881
0,2012-03-05 00:00:00,0.879,0.879
0,2012-03-06 00:00:00,0.873,0.873
0,2012-03-07 00:00:00,0.874,0.874
0,2012-03-08 00:00:00,0.878,0.878
0,2012-03-09 00:00:00,0.888,0.888
0,2012-03-12 00:00:00,0.893,0.893
0,2012-03-13 00:00:00,0.899,0.899
0,2012-03-14 00:00:00,0.881,0.881
0,2012-03-15 00:00:00,0.883,0.883
0,2012-03-16 00:00:00,0.895,0.895
0,2012-03-19 00:00:00,0.896,0.896
0,2012-03-20 00:00:00,0.884,0.884
0,2012-03-21 00:00:00,0.881,0.881
0,2012-03-22 00:00:00,0.88,0.88
0,2012-03-23 00:00:00,0.872,0.872
0,2012-03-26 00:00:00,0.873,0.873
0,2012-03-27 00:00:00,0.869,0.869
0,2012-03-28 00:00:00,0.855,0.855
0,2012-03-29 00:00:00,0.852,0.852
0,2012-03-30 00:00:00,0.855,0.855
0,2012-04-05 00:00:00,0.866,0.866
0,2012-04-06 00:00:00,0.868,0.868
0,2012-04-09 00:00:00,0.862,0.862
0,2012-04-10 00:00:00,0.864,0.864
0,2012-04-11 00:00:00,0.865,0.865
0,2012-04-12 00:00:00,0.874,0.874
0,2012-04-13 00:00:00,0.876,0.876
0,2012-04-16 00:00:00,0.876,0.876
0,2012-04-17 00:00:00,0.871,0.871
0,2012-04-18 00:00:00,0.88,0.88
0,2012-04-19 00:00:00,0.877,0.877
0,2012-04-20 00:00:00,0.878,0.878
0,2012-04-23 00:00:00,0.87,0.87
0,2012-04-24 00:00:00,0.868,0.868
0,2012-04-25 00:00:00,0.87,0.87
0,2012-04-26 00:00:00,0.869,0.869
0,2012-04-27 00:00:00,0.868,0.868
0,2012-05-02 00:00:00,0.875,0.875
0,2012-05-03 00:00:00,0.879,0.879
0,2012-05-04 00:00:00,0.886,0.886
0,2012-05-07 00:00:00,0.893,0.893
0,2012-05-08 00:00:00,0.889,0.889
0,2012-05-09 00:00:00,0.88,0.88
0,2012-05-10 00:00:00,0.881,0.881
0,2012-05-11 00:00:00,0.879,0.879
0,2012-05-14 00:00:00,0.88,0.88
0,2012-05-15 00:00:00,0.879,0.879
0,2012-05-16 00:00:00,0.871,0.871
0,2012-05-17 00:00:00,0.877,0.877
0,2012-05-18 00:00:00,0.867,0.867
0,2012-05-21 00:00:00,0.867,0.867
0,2012-05-22 00:00:00,0.876,0.876
0,2012-05-23 00:00:00,0.875,0.875
0,2012-05-24 00:00:00,0.87,0.87
0,2012-05-25 00:00:00,0.862,0.862
0,2012-05-28 00:00:00,0.87,0.87
0,2012-05-29 00:00:00,0.875,0.875
0,2012-05-30 00:00:00,0.878,0.878
0,2012-05-31 00:00:00,0.881,0.881
0,2012-06-01 00:00:00,0.881,0.881
0,2012-06-04 00:00:00,0.87,0.87
0,2012-06-05 00:00:00,0.868,0.868
0,2012-06-06 00:00:00,0.868,0.868
0,2012-06-07 00:00:00,0.864,0.864
