comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e365\u5929"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e365\u5929\uff0c\u5c0f\u4e8e730\u5929"", ""0.25%"", ""\u5927\u4e8e\u7b49\u4e8e730\u5929"", ""0.00%""], ""name"": ""\u4e2d\u6b27\u533b\u7597\u5065\u5eb7\u6df7\u5408A"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 30], [30, 365], [365, 730], [730]]}",0.0,0.0
0.0,2016-09-29 00:00:00,1.0,1.0
0.0,2016-09-30 00:00:00,1.0,1.0
0.0,2016-10-14 00:00:00,1.002,1.002
0.0,2016-10-21 00:00:00,0.997,0.997
0.0,2016-10-28 00:00:00,0.991,0.991
0.0,2016-10-31 00:00:00,0.993,0.993
0.0,2016-11-01 00:00:00,0.995,0.995
0.0,2016-11-02 00:00:00,0.993,0.993
0.0,2016-11-03 00:00:00,0.991,0.991
0.0,2016-11-04 00:00:00,0.99,0.99
0.0,2016-11-07 00:00:00,0.989,0.989
0.0,2016-11-08 00:00:00,0.99,0.99
0.0,2016-11-09 00:00:00,0.983,0.983
0.0,2016-11-10 00:00:00,0.988,0.988
0.0,2016-11-11 00:00:00,0.985,0.985
0.0,2016-11-14 00:00:00,0.984,0.984
0.0,2016-11-15 00:00:00,0.985,0.985
0.0,2016-11-16 00:00:00,0.983,0.983
0.0,2016-11-17 00:00:00,0.982,0.982
0.0,2016-11-18 00:00:00,0.978,0.978
0.0,2016-11-21 00:00:00,0.981,0.981
0.0,2016-11-22 00:00:00,0.988,0.988
0.0,2016-11-23 00:00:00,0.985,0.985
0.0,2016-11-24 00:00:00,0.99,0.99
0.0,2016-11-25 00:00:00,0.994,0.994
0.0,2016-11-28 00:00:00,0.995,0.995
0.0,2016-11-29 00:00:00,0.988,0.988
0.0,2016-11-30 00:00:00,0.978,0.978
0.0,2016-12-01 00:00:00,0.98,0.98
0.0,2016-12-02 00:00:00,0.966,0.966
0.0,2016-12-05 00:00:00,0.962,0.962
0.0,2016-12-06 00:00:00,0.96,0.96
0.0,2016-12-07 00:00:00,0.968,0.968
0.0,2016-12-08 00:00:00,0.965,0.965
0.0,2016-12-09 00:00:00,0.968,0.968
0.0,2016-12-12 00:00:00,0.946,0.946
0.0,2016-12-13 00:00:00,0.943,0.943
0.0,2016-12-14 00:00:00,0.939,0.939
0.0,2016-12-15 00:00:00,0.928,0.928
0.0,2016-12-16 00:00:00,0.928,0.928
0.0,2016-12-19 00:00:00,0.931,0.931
0.0,2016-12-20 00:00:00,0.93,0.93
0.0,2016-12-21 00:00:00,0.932,0.932
0.0,2016-12-22 00:00:00,0.933,0.933
0.0,2016-12-23 00:00:00,0.928,0.928
0.0,2016-12-26 00:00:00,0.929,0.929
0.0,2016-12-27 00:00:00,0.929,0.929
0.0,2016-12-28 00:00:00,0.924,0.924
0.0,2016-12-29 00:00:00,0.918,0.918
0.0,2016-12-30 00:00:00,0.927,0.927
0.0,2017-01-03 00:00:00,0.934,0.934
0.0,2017-01-04 00:00:00,0.938,0.938
0.0,2017-01-05 00:00:00,0.94,0.94
0.0,2017-01-06 00:00:00,0.932,0.932
0.0,2017-01-09 00:00:00,0.935,0.935
0.0,2017-01-10 00:00:00,0.933,0.933
0.0,2017-01-11 00:00:00,0.928,0.928
0.0,2017-01-12 00:00:00,0.92,0.92
0.0,2017-01-13 00:00:00,0.914,0.914
0.0,2017-01-16 00:00:00,0.912,0.912
0.0,2017-01-17 00:00:00,0.918,0.918
0.0,2017-01-18 00:00:00,0.92,0.92
0.0,2017-01-19 00:00:00,0.915,0.915
0.0,2017-01-20 00:00:00,0.924,0.924
0.0,2017-01-23 00:00:00,0.928,0.928
0.0,2017-01-24 00:00:00,0.925,0.925
0.0,2017-01-25 00:00:00,0.932,0.932
0.0,2017-01-26 00:00:00,0.936,0.936
0.0,2017-02-03 00:00:00,0.936,0.936
0.0,2017-02-06 00:00:00,0.937,0.937
0.0,2017-02-07 00:00:00,0.941,0.941
0.0,2017-02-08 00:00:00,0.941,0.941
0.0,2017-02-09 00:00:00,0.939,0.939
0.0,2017-02-10 00:00:00,0.938,0.938
0.0,2017-02-13 00:00:00,0.948,0.948
0.0,2017-02-14 00:00:00,0.943,0.943
0.0,2017-02-15 00:00:00,0.931,0.931
0.0,2017-02-16 00:00:00,0.941,0.941
0.0,2017-02-17 00:00:00,0.932,0.932
0.0,2017-02-20 00:00:00,0.944,0.944
0.0,2017-02-21 00:00:00,0.956,0.956
0.0,2017-02-22 00:00:00,0.96,0.96
0.0,2017-02-23 00:00:00,0.979,0.979
0.0,2017-02-24 00:00:00,0.974,0.974
0.0,2017-02-27 00:00:00,0.969,0.969
0.0,2017-02-28 00:00:00,0.972,0.972
0.0,2017-03-01 00:00:00,0.97,0.97
0.0,2017-03-02 00:00:00,0.969,0.969
0.0,2017-03-03 00:00:00,0.968,0.968
0.0,2017-03-06 00:00:00,0.973,0.973
0.0,2017-03-07 00:00:00,0.974,0.974
0.0,2017-03-08 00:00:00,0.973,0.973
0.0,2017-03-09 00:00:00,0.966,0.966
0.0,2017-03-10 00:00:00,0.972,0.972
0.0,2017-03-13 00:00:00,0.982,0.982
0.0,2017-03-14 00:00:00,0.98,0.98
0.0,2017-03-15 00:00:00,0.987,0.987
0.0,2017-03-16 00:00:00,0.989,0.989
0.0,2017-03-17 00:00:00,0.982,0.982
0.0,2017-03-20 00:00:00,0.986,0.986
0.0,2017-03-21 00:00:00,0.996,0.996
0.0,2017-03-22 00:00:00,1.008,1.008
0.0,2017-03-23 00:00:00,1.008,1.008
0.0,2017-03-24 00:00:00,1.005,1.005
0.0,2017-03-27 00:00:00,0.995,0.995
0.0,2017-03-28 00:00:00,0.998,0.998
0.0,2017-03-29 00:00:00,0.99,0.99
0.0,2017-03-30 00:00:00,0.986,0.986
0.0,2017-03-31 00:00:00,1.002,1.002
0.0,2017-04-05 00:00:00,1.019,1.019
0.0,2017-04-06 00:00:00,1.02,1.02
0.0,2017-04-07 00:00:00,1.014,1.014
0.0,2017-04-10 00:00:00,0.998,0.998
0.0,2017-04-11 00:00:00,0.991,0.991
0.0,2017-04-12 00:00:00,0.994,0.994
0.0,2017-04-13 00:00:00,1.008,1.008
0.0,2017-04-14 00:00:00,0.997,0.997
0.0,2017-04-17 00:00:00,0.999,0.999
0.0,2017-04-18 00:00:00,1.008,1.008
0.0,2017-04-19 00:00:00,1.006,1.006
0.0,2017-04-20 00:00:00,1.028,1.028
0.0,2017-04-21 00:00:00,1.016,1.016
0.0,2017-04-24 00:00:00,0.995,0.995
0.0,2017-04-25 00:00:00,0.998,0.998
0.0,2017-04-26 00:00:00,1.003,1.003
0.0,2017-04-27 00:00:00,1.014,1.014
0.0,2017-04-28 00:00:00,1.002,1.002
0.0,2017-05-02 00:00:00,1.004,1.004
0.0,2017-05-03 00:00:00,1.001,1.001
