comment,date,netvalue,totvalue
0.0,"{""feeinfo"": [""\u5c0f\u4e8e7\u5929"", ""1.50%"", ""\u5927\u4e8e\u7b49\u4e8e7\u5929\uff0c\u5c0f\u4e8e30\u5929"", ""0.75%"", ""\u5927\u4e8e\u7b49\u4e8e30\u5929\uff0c\u5c0f\u4e8e365\u5929"", ""0.50%"", ""\u5927\u4e8e\u7b49\u4e8e365\u5929\uff0c\u5c0f\u4e8e730\u5929"", ""0.30%"", ""\u5927\u4e8e\u7b49\u4e8e730\u5929"", ""0.00%""], ""name"": ""\u6cd3\u5fb7\u4f18\u9009\u6210\u957f\u6df7\u5408"", ""rate"": 0.15, ""segment"": [[0, 7], [7, 30], [30, 365], [365, 730], [730]]}",0.0,0.0
0.0,2015-05-21 00:00:00,1.0,1.0
0.0,2015-05-22 00:00:00,1.0,1.0
0.0,2015-05-25 00:00:00,1.0,1.0
0.0,2015-05-29 00:00:00,0.977,0.977
0.0,2015-06-05 00:00:00,1.011,1.011
0.0,2015-06-12 00:00:00,1.025,1.025
0.0,2015-06-19 00:00:00,0.94,0.94
0.0,2015-06-26 00:00:00,0.902,0.902
0.0,2015-06-30 00:00:00,0.916,0.916
0.0,2015-07-03 00:00:00,0.824,0.824
0.0,2015-07-10 00:00:00,0.843,0.843
0.0,2015-07-17 00:00:00,0.894,0.894
0.0,2015-07-24 00:00:00,0.923,0.923
0.0,2015-07-31 00:00:00,0.865,0.865
0.0,2015-08-03 00:00:00,0.85,0.85
0.0,2015-08-04 00:00:00,0.88,0.88
0.0,2015-08-05 00:00:00,0.872,0.872
0.0,2015-08-06 00:00:00,0.872,0.872
0.0,2015-08-07 00:00:00,0.891,0.891
0.0,2015-08-10 00:00:00,0.916,0.916
0.0,2015-08-11 00:00:00,0.915,0.915
0.0,2015-08-12 00:00:00,0.905,0.905
0.0,2015-08-13 00:00:00,0.918,0.918
0.0,2015-08-14 00:00:00,0.916,0.916
0.0,2015-08-17 00:00:00,0.915,0.915
0.0,2015-08-18 00:00:00,0.885,0.885
0.0,2015-08-19 00:00:00,0.891,0.891
0.0,2015-08-20 00:00:00,0.883,0.883
0.0,2015-08-21 00:00:00,0.86,0.86
0.0,2015-08-24 00:00:00,0.821,0.821
